 frequency      v(vout)        v(vout)       
 1.0000000e+00  9.2968695e+02 -9.8909531e-02 
 1.2589254e+00  9.2968694e+02 -1.2451972e-01 
 1.5848932e+00  9.2968693e+02 -1.5676104e-01 
 1.9952623e+00  9.2968692e+02 -1.9735045e-01 
 2.5118864e+00  9.2968689e+02 -2.4844949e-01 
 3.1622777e+00  9.2968686e+02 -3.1277937e-01 
 3.9810717e+00  9.2968679e+02 -3.9376587e-01 
 5.0118723e+00  9.2968670e+02 -4.9572180e-01 
 6.3095734e+00  9.2968654e+02 -6.2407667e-01 
 7.9432823e+00  9.2968630e+02 -7.8566578e-01 
 1.0000000e+01  9.2968591e+02 -9.8909420e-01 
 1.2589254e+01  9.2968529e+02 -1.2451950e+00 
 1.5848932e+01  9.2968432e+02 -1.5676060e+00 
 1.9952623e+01  9.2968277e+02 -1.9734957e+00 
 2.5118864e+01  9.2968032e+02 -2.4844774e+00 
 3.1622777e+01  9.2967644e+02 -3.1277586e+00 
 3.9810717e+01  9.2967029e+02 -3.9375888e+00 
 5.0118723e+01  9.2966054e+02 -4.9570786e+00 
 6.3095734e+01  9.2964508e+02 -6.2404885e+00 
 7.9432823e+01  9.2962059e+02 -7.8561026e+00 
 1.0000000e+02  9.2958177e+02 -9.8898344e+00 
 1.2589254e+02  9.2952026e+02 -1.2449740e+01 
 1.5848932e+02  9.2942278e+02 -1.5671651e+01 
 1.9952623e+02  9.2926834e+02 -1.9726162e+01 
 2.5118864e+02  9.2902366e+02 -2.4827230e+01 
 3.1622777e+02  9.2863614e+02 -3.1242597e+01 
 3.9810717e+02  9.2802262e+02 -3.9306120e+01 
 5.0118723e+02  9.2705191e+02 -4.9431729e+01 
 6.3095734e+02  9.2551760e+02 -6.2127893e+01 
 7.9432823e+02  9.2309625e+02 -7.8009814e+01 
 1.0000000e+03  9.1928451e+02 -9.7803116e+01 
 1.2589254e+03  9.1330736e+02 -1.2232648e+02 
 1.5848932e+03  9.0399176e+02 -1.5242958e+02 
 1.9952623e+03  8.8961049e+02 -1.8884550e+02 
 2.5118864e+03  8.6773171e+02 -2.3189711e+02 
 3.1622777e+03  8.3517728e+02 -2.8099171e+02 
 3.9810717e+03  7.8830341e+02 -3.3389974e+02 
 5.0118723e+03  7.2390788e+02 -3.8602766e+02 
 6.3095734e+03  6.4092277e+02 -4.3028930e+02 
 7.9432823e+03  5.4237102e+02 -4.5844008e+02 
 1.0000000e+04  4.3607822e+02 -4.6408769e+02 
 1.2589254e+04  3.3270740e+02 -4.4583756e+02 
 1.5848932e+04  2.4181617e+02 -4.0806002e+02 
 1.9952623e+04  1.6871373e+02 -3.5858039e+02 
 2.5118864e+04  1.1401996e+02 -3.0530226e+02 
 3.1622777e+04  7.5273069e+01 -2.5403021e+02 
 3.9810717e+04  4.8872808e+01 -2.0801817e+02 
 5.0118723e+04  3.1359236e+01 -1.6852008e+02 
 6.3095734e+04  1.9946017e+01 -1.3556088e+02 
 7.9432823e+04  1.2594337e+01 -1.0854991e+02 
 1.0000000e+05  7.8942913e+00 -8.6666046e+01 
 1.2589254e+05  4.9038952e+00 -6.9064479e+01 
 1.5848932e+05  3.0070793e+00 -5.4972214e+01 
 1.9952623e+05  1.8062609e+00 -4.3722347e+01 
 2.5118864e+05  1.0469936e+00 -3.4758037e+01 
 3.1622777e+05  5.6728944e-01 -2.7623205e+01 
 3.9810717e+05  2.6436268e-01 -2.1948608e+01 
 5.0118723e+05  7.3129080e-02 -1.7437435e+01 
 6.3095734e+05 -4.7568621e-02 -1.3852151e+01 
 7.9432823e+05 -1.2373503e-01 -1.1003182e+01 
 1.0000000e+06 -1.7179157e-01 -8.7394904e+00 
 1.2589254e+06 -2.0210365e-01 -6.9408657e+00 
 1.5848932e+06 -2.2121112e-01 -5.5116962e+00 
 1.9952623e+06 -2.3323713e-01 -4.3759592e+00 
 2.5118864e+06 -2.4077706e-01 -3.4732163e+00 
 3.1622777e+06 -2.4545829e-01 -2.7554161e+00 
 3.9810717e+06 -2.4829139e-01 -2.1843464e+00 
 5.0118723e+06 -2.4988832e-01 -1.7296068e+00 
 6.3095734e+06 -2.5059495e-01 -1.3669942e+00 
 7.9432823e+06 -2.5056680e-01 -1.0772211e+00 
 1.0000000e+07 -2.4980514e-01 -8.4489908e-01 
 1.2589254e+07 -2.4816380e-01 -6.5773913e-01 
 1.5848932e+07 -2.4533301e-01 -5.0593406e-01 
 1.9952623e+07 -2.4080883e-01 -3.8170164e-01 
 2.5118864e+07 -2.3386617e-01 -2.7898019e-01 
 3.1622777e+07 -2.2357577e-01 -1.9327026e-01 
 3.9810717e+07 -2.0893703e-01 -1.2159185e-01 
 5.0118723e+07 -1.8921031e-01 -6.2450796e-02 
 6.3095734e+07 -1.6444631e-01 -1.5596570e-02 
 7.9432823e+07 -1.3596821e-01  1.8654624e-02 
 1.0000000e+08 -1.0633513e-01  4.0448049e-02 
 1.2589254e+08 -7.8539981e-02  5.1185364e-02 
 1.5848932e+08 -5.4894965e-02  5.3479280e-02 
 1.9952623e+08 -3.6397553e-02  5.0371386e-02 
 2.5118864e+08 -2.2857950e-02  4.4498745e-02 
 3.1622777e+08 -1.3430207e-02  3.7697524e-02 
 3.9810717e+08 -7.1052811e-03  3.1030352e-02 
 5.0118723e+08 -2.9894712e-03  2.5002218e-02 
 6.3095734e+08 -3.9880329e-04  1.9785081e-02 
 7.9432823e+08  1.1471337e-03  1.5383338e-02 
 1.0000000e+09  1.9708171e-03  1.1736352e-02 
 1.2589254e+09  2.2908714e-03  8.7720622e-03 
 1.5848932e+09  2.2692763e-03  6.4247062e-03 
 1.9952623e+09  2.0410008e-03  4.6289727e-03 
 2.5118864e+09  1.7208448e-03  3.3073127e-03 
 3.1622777e+09  1.3948865e-03  2.3671745e-03 
 3.9810717e+09  1.1131077e-03  1.7122707e-03 
 5.0118723e+09  8.9324319e-04  1.2577653e-03 
 6.3095734e+09  7.3259830e-04  9.3880104e-04 
 7.9432823e+09  6.1983557e-04  7.1058446e-04 
 1.0000000e+10  5.4246578e-04  5.4392287e-04 
