 frequency      v(opout)       v(opout)      
 1.0000000e+00 -1.6165366e+06  3.7725711e+05 
 1.2589254e+00 -1.5691333e+06  4.6101162e+05 
 1.5848932e+00 -1.4994460e+06  5.5460398e+05 
 1.9952623e+00 -1.4008445e+06  6.5229221e+05 
 2.5118864e+00 -1.2686274e+06  7.4368075e+05 
 3.1622777e+00 -1.1035493e+06  8.1441248e+05 
 3.9810717e+00 -9.1487319e+05  8.4999025e+05 
 5.0118723e+00 -7.1982108e+05  8.4193423e+05 
 6.3095734e+00 -5.3802214e+05  7.9223613e+05 
 7.9432823e+00 -3.8422337e+05  7.1226185e+05 
 1.0000000e+01 -2.6442349e+05  6.1710373e+05 
 1.2589254e+01 -1.7696989e+05  5.1994934e+05 
 1.5848932e+01 -1.1610767e+05  4.2946540e+05 
 1.9952623e+01 -7.5146550e+04  3.4993322e+05 
 2.5118864e+01 -4.8196907e+04  2.8255912e+05 
 3.1622777e+01 -3.0729311e+04  2.2681160e+05 
 3.9810717e+01 -1.9517173e+04  1.8136967e+05 
 5.0118723e+01 -1.2365178e+04  1.4467852e+05 
 6.3095734e+01 -7.8212525e+03  1.1523082e+05 
 7.9432823e+01 -4.9416520e+03  9.1686434e+04 
 1.0000000e+02 -3.1197124e+03  7.2907193e+04 
 1.2589254e+02 -1.9681351e+03  5.7951439e+04 
 1.5848932e+02 -1.2407365e+03  4.6052130e+04 
 1.9952623e+02 -7.8145913e+02  3.6590371e+04 
 2.5118864e+02 -4.9154725e+02  2.9069711e+04 
 3.1622777e+02 -3.0857445e+02  2.3093373e+04 
 3.9810717e+02 -1.9310620e+02  1.8344962e+04 
 5.0118723e+02 -1.2024261e+02  1.4572545e+04 
 6.3095734e+02 -7.4265584e+01  1.1575698e+04 
 7.9432823e+02 -4.5254763e+01  9.1950622e+03 
 1.0000000e+03 -2.6949662e+01  7.3039784e+03 
 1.2589254e+03 -1.5399716e+01  5.8017987e+03 
 1.5848932e+03 -8.1121042e+00  4.6085562e+03 
 1.9952623e+03 -3.5138870e+00  3.6607211e+03 
 2.5118864e+03 -6.1257481e-01  2.9078253e+03 
 3.1622777e+03  1.2180670e+00  2.3097781e+03 
 3.9810717e+03  2.3731775e+00  1.8347331e+03 
 5.0118723e+03  3.1020854e+00  1.4573933e+03 
 6.3095734e+03  3.5621249e+00  1.1576646e+03 
 7.9432823e+03  3.8525954e+00  9.1958558e+02 
 1.0000000e+04  4.0361950e+00  7.3047768e+02 
 1.2589254e+04  4.1525535e+00  5.8027031e+02 
 1.5848932e+04  4.2267865e+00  4.6096440e+02 
 1.9952623e+04  4.2749165e+00  3.6620649e+02 
 2.5118864e+04  4.3073304e+00  2.9095034e+02 
 3.1622777e+04  4.3310195e+00  2.3118824e+02 
 3.9810717e+04  4.3510845e+00  1.8373753e+02 
 5.0118723e+04  4.3718250e+00  1.4607107e+02 
 6.3095734e+04  4.3976419e+00  1.1618256e+02 
 7.9432823e+04  4.4339271e+00  9.2479504e+01 
 1.0000000e+05  4.4880964e+00  7.3698098e+01 
 1.2589254e+05  4.5709360e+00  5.8835374e+01 
 1.5848932e+05  4.6985280e+00  4.7094956e+01 
 1.9952623e+05  4.8953997e+00  3.7843400e+01 
 2.5118864e+05  5.2006178e+00  3.0574140e+01 
 3.1622777e+05  5.6808996e+00  2.4873840e+01 
 3.9810717e+05  6.4580930e+00  2.0376107e+01 
 5.0118723e+05  7.7536214e+00  1.6651173e+01 
 6.3095734e+05  9.8454744e+00  1.2862743e+01 
 7.9432823e+05  1.2013766e+01  7.1423841e+00 
 1.0000000e+06  9.9098202e+00 -1.7333644e-01 
 1.2589254e+06  4.6325653e+00 -2.5983146e+00 
 1.5848932e+06  1.7557760e+00 -1.9110168e+00 
 1.9952623e+06  6.4913998e-01 -1.1128224e+00 
 2.5118864e+06  2.2346087e-01 -6.1684874e-01 
 3.1622777e+06  5.6232551e-02 -3.3254168e-01 
 3.9810717e+06 -4.3099282e-03 -1.7154914e-01 
 5.0118723e+06 -1.9333747e-02 -8.2829658e-02 
 6.3095734e+06 -1.7197387e-02 -3.6968697e-02 
 7.9432823e+06 -1.1209823e-02 -1.5305894e-02 
 1.0000000e+07 -6.2960752e-03 -5.9629939e-03 
 1.2589254e+07 -3.2742500e-03 -2.2159590e-03 
 1.5848932e+07 -1.6468884e-03 -7.8709597e-04 
 1.9952623e+07 -8.2444075e-04 -2.6140678e-04 
 2.5118864e+07 -4.1883865e-04 -7.4810713e-05 
 3.1622777e+07 -2.1903712e-04 -1.2365150e-05 
 3.9810717e+07 -1.1932199e-04  5.8924849e-06 
 5.0118723e+07 -6.8468212e-05  9.1604925e-06 
 6.3095734e+07 -4.1881016e-05  7.8098807e-06 
 7.9432823e+07 -2.7712066e-05  5.3684896e-06 
 1.0000000e+08 -2.0168538e-05  2.9778427e-06 
 1.2589254e+08 -1.6319630e-05  1.0012389e-06 
 1.5848932e+08 -1.4579996e-05 -4.4456600e-07 
 1.9952623e+08 -1.4009905e-05 -1.3510959e-06 
 2.5118864e+08 -1.4020107e-05 -1.7913279e-06 
 3.1622777e+08 -1.4255345e-05 -1.8908751e-06 
 3.9810717e+08 -1.4528964e-05 -1.7833319e-06 
 5.0118723e+08 -1.4763504e-05 -1.5758304e-06 
 6.3095734e+08 -1.4939871e-05 -1.3382213e-06 
 7.9432823e+08 -1.5063509e-05 -1.1087361e-06 
 1.0000000e+09 -1.5146723e-05 -9.0457747e-07 
 1.2589254e+09 -1.5201371e-05 -7.3100127e-07 
 1.5848932e+09 -1.5236725e-05 -5.8731259e-07 
 1.9952623e+09 -1.5259384e-05 -4.7029668e-07 
 2.5118864e+09 -1.5273822e-05 -3.7599524e-07 
 3.1622777e+09 -1.5282989e-05 -3.0054150e-07 
 3.9810717e+09 -1.5288797e-05 -2.4050123e-07 
 5.0118723e+09 -1.5292473e-05 -1.9297135e-07 
 6.3095734e+09 -1.5294798e-05 -1.5556873e-07 
 7.9432823e+09 -1.5296271e-05 -1.2637585e-07 
 1.0000000e+10 -1.5297208e-05 -1.0387540e-07 
